area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_clean,bhk,location_clean,price_per_sqft,sqft_per_bhk,location_encoded,bath_per_bhk,area_type_encoded,latitude,longitude,location_label
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9.0,3.0,360.0,5000.0,11.0,1 Giri Nagar,7200.0,454.54545454545456,Other,0.8181818181818182,1,13.122324,77.598864,146
Super built-up  Area,Ready To Move,1 Immadihalli,11 BHK,,6000,12.0,2.0,150.0,6000.0,11.0,1 Immadihalli,2500.0,545.4545454545455,Other,1.0909090909090908,1,12.949949,77.55842,146
Super built-up  Area,Ready To Move,1Hoysalanagar,13 BHK,,5425,13.0,0.0,275.0,5425.0,13.0,1Hoysalanagar,5069.124423963133,417.3076923076923,Other,1.0,1,12.894594,77.611493,146
Super built-up  Area,Ready To Move,1st Block BEL Layout,3 BHK,,1540,3.0,2.0,85.0,1540.0,3.0,1St Block Bel Layout,5519.480519480519,513.3333333333334,Other,1.0,1,12.927118,77.650587,146
Super built-up  Area,Ready To Move,1st Block HBR Layout,1 BHK,,600,1.0,0.0,45.0,600.0,1.0,1St Block Hbr Layout,7500.0,600.0,Other,1.0,1,12.922927,77.590265,146
Built-up  Area,Ready To Move,1st Block HBR Layout,4 BHK,,3150,4.0,2.0,150.0,3150.0,4.0,1St Block Hbr Layout,4761.9047619047615,787.5,Other,1.0,2,12.922927,77.590265,146
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,Dhnts A,1415,2.0,3.0,110.0,1415.0,2.0,1St Block Koramangala,7773.851590106007,707.5,Other,1.0,2,12.9349,77.6175,146
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,,860,2.0,2.0,65.5,860.0,2.0,1St Block Koramangala,7616.279069767442,430.0,Other,1.0,2,12.9349,77.6175,146
Built-up  Area,18-Mar,1st Block Koramangala,3 BHK,,2350,3.0,2.0,210.0,2350.0,3.0,1St Block Koramangala,8936.170212765957,783.3333333333334,Other,1.0,2,12.9349,77.6175,146
Super built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,,1000,2.0,2.0,45.0,1000.0,2.0,1St Block Koramangala,4500.0,500.0,Other,1.0,1,12.9349,77.6175,146
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,Prhtsok,2825,4.0,3.0,250.0,2825.0,4.0,1St Phase Jp Nagar,8849.557522123894,706.25,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,1875,3.0,1.0,167.0,1875.0,3.0,1St Phase Jp Nagar,8906.666666666666,625.0,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Built-up  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,,1500,5.0,2.0,85.0,1500.0,5.0,1St Phase Jp Nagar,5666.666666666667,300.0,1St Phase Jp Nagar,1.0,2,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,NCaveun,2024,3.0,2.0,157.0,2024.0,3.0,1St Phase Jp Nagar,7756.916996047431,674.6666666666666,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1394,2.0,1.0,100.0,1394.0,2.0,1St Phase Jp Nagar,7173.601147776184,697.0,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Super built-up  Area,18-May,1st Phase JP Nagar,2 BHK,Inntsth,1077,2.0,2.0,93.0,1077.0,2.0,1St Phase Jp Nagar,8635.097493036212,538.5,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,Opamaan,78.03Sq. Meter,1.0,1.0,63.0,839.9149199999999,1.0,1St Phase Jp Nagar,7500.759719805907,839.9149199999999,1St Phase Jp Nagar,1.0,2,12.9064,77.5857,0
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,Opamaan,840,2.0,2.0,50.0,840.0,1.0,1St Phase Jp Nagar,5952.380952380952,840.0,1St Phase Jp Nagar,2.0,2,12.9064,77.5857,0
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,Inntsth,1590,3.0,3.0,131.0,1590.0,3.0,1St Phase Jp Nagar,8238.993710691824,530.0,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2180,3.0,2.0,210.0,2180.0,3.0,1St Phase Jp Nagar,9633.02752293578,726.6666666666666,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,,1180,2.0,2.0,88.5,1180.0,2.0,1St Phase Jp Nagar,7500.0,590.0,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,,1200,2.0,2.0,86.0,1200.0,2.0,1St Phase Jp Nagar,7166.666666666667,600.0,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1394,2.0,2.0,85.0,1394.0,2.0,1St Phase Jp Nagar,6097.5609756097565,697.0,1St Phase Jp Nagar,1.0,2,12.9064,77.5857,0
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,Inntsth,2077,3.0,3.0,175.0,2077.0,3.0,1St Phase Jp Nagar,8425.613866153106,692.3333333333334,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,,4550,2.0,1.0,240.0,4550.0,4.0,1St Phase Jp Nagar,5274.725274725275,1137.5,1St Phase Jp Nagar,0.5,1,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1205,2.0,1.0,85.0,1205.0,2.0,1St Phase Jp Nagar,7053.941908713693,602.5,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,Prhtsok,2615,5.0,3.0,222.0,2615.0,4.0,1St Phase Jp Nagar,8489.483747609942,653.75,1St Phase Jp Nagar,1.25,1,12.9064,77.5857,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,,900,2.0,1.0,75.0,900.0,2.0,1St Phase Jp Nagar,8333.333333333334,450.0,1St Phase Jp Nagar,1.0,1,12.9064,77.5857,0
Built-up  Area,Ready To Move,1st Stage Domlur,3 BHK,,1350,2.0,2.0,65.0,1350.0,3.0,1St Stage Domlur,4814.814814814815,450.0,Other,0.6666666666666666,2,12.961,77.638,146
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,,1400,2.0,1.0,67.0,1400.0,2.0,1St Stage Indira Nagar,4785.714285714285,700.0,Other,1.0,2,12.9719,77.6412,146
Super built-up  Area,18-May,1st Stage Indira Nagar,2 BHK,,1200,2.0,2.0,55.0,1200.0,2.0,1St Stage Indira Nagar,4583.333333333333,600.0,Other,1.0,1,12.9719,77.6412,146
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,,940,2.0,1.0,56.0,940.0,2.0,1St Stage Indira Nagar,5957.446808510638,470.0,Other,1.0,2,12.9719,77.6412,146
Carpet  Area,Ready To Move,2nd Block Bel Layout,3 BHK,,1625,3.0,3.0,92.0,1625.0,3.0,2Nd Block Bel Layout,5661.538461538462,541.6666666666666,Other,1.0,4,12.991076,77.592935,146
